"year","pool_size","backlog_n2plus","odds_n0","odds_n1","odds_n2","odds_n3","rookie_slots","formula","growth"
2032,3448,509,0.00699635624106565,0.0208512023502941,0.0607614071614029,0.169316822750339,15.1,"base3",0.25
2033,4335,663,0.0049494635348006,0.0147699742499326,0.0435507142472741,0.123691769227117,13.4,"base3",0.25
2034,5450,854,0.00355796248740949,0.0105891632812723,0.0313837035435241,0.0908156737823951,10.6,"base3",0.25
2027,1101,151,0.0185981481580944,0.0714061762223007,0.261792659314063,0.682805831189337,13.7,"base4",0.25
2028,1367,173,0.0166844058205365,0.0647050216854343,0.228001026211612,0.636946664764649,15.1,"base4",0.25
2029,1724,223,0.01231166270873,0.0480607838244329,0.175081787171233,0.519988172117449,13.8,"base4",0.25
2030,2167,290,0.00875589592883987,0.0343098552638936,0.128333839387977,0.409480105928352,11.7,"base4",0.25
2031,2737,382,0.00597122837013793,0.0235922398227671,0.0896819992309601,0.30483075935964,11.3,"base4",0.25
2032,3446,508,0.00400182766455637,0.0158809024680771,0.0614848280640381,0.218307240019873,8.8,"base4",0.25
2033,4330,655,0.00269669293411907,0.0107367684241565,0.0419849395006081,0.154299542920157,6.8,"base4",0.25
2034,5448,847,0.00183364799777098,0.00731007690227161,0.0286929421904751,0.107266529155187,5.5,"base4",0.25
2027,1107,154,0.0177567319305489,0.0691369127542998,0.252367809449443,0.677861286581834,12.3,"base4_kflat",0.25
2028,1377,172,0.0163594167587753,0.0636550523354971,0.231076226052921,0.644409962867802,14.7,"base4_kflat",0.25
2029,1730,227,0.0119529065399933,0.0470264712771586,0.173329297213157,0.527972620449354,13.4,"base4_kflat",0.25
2030,2170,295,0.00839493494667819,0.0330912513633091,0.125770413998466,0.409667023092795,11.5,"base4_kflat",0.25
2031,2737,387,0.0056930922624163,0.0225637685407902,0.086693226815558,0.301950175397233,10.7,"base4_kflat",0.25
2032,3451,512,0.0038817800504718,0.01546299991781,0.0600229804975446,0.217033151290776,8.4,"base4_kflat",0.25
2033,4329,659,0.00266939504905383,0.0106280277473851,0.0420189140052147,0.156009113883557,7.4,"base4_kflat",0.25
2034,5441,839,0.00180986205784984,0.0071989348075149,0.0284294664731132,0.109551001213885,5.2,"base4_kflat",0.25
2027,1097,151,0.017614680528234,0.073619729556065,0.256787973318734,0.689844423604052,12.6,"caleb",0.25
2028,1364,167,0.0159580681828296,0.0676332826309873,0.233509313003551,0.648965951601339,14.8,"caleb",0.25
2029,1717,221,0.0117764886908931,0.0501457113986915,0.178678577303995,0.53550879240169,13.6,"caleb",0.25
2030,2166,290,0.00817004552131383,0.0348826756299254,0.127513934816385,0.412913212032604,11,"caleb",0.25
2031,2731,376,0.00564802847989094,0.0243064450734616,0.0897996710093665,0.307864867131599,10.2,"caleb",0.25
2032,3446,507,0.00382100024591122,0.0164539381659328,0.0617855621209256,0.220035503814827,8.6,"caleb",0.25
2033,4332,656,0.00257557696053649,0.0110795284370936,0.0420295216162932,0.154293634742799,6.6,"caleb",0.25
2034,5446,850,0.00173192894361175,0.00748570330198005,0.0284296089276946,0.10656148637897,5.4,"caleb",0.25
2027,1099,153,0.0180754574634622,0.0697576585288748,0.254379633705004,0.67766450444525,12.8,"base4_expsvc",0.25
2028,1368,171,0.0167034396916943,0.0650113697629607,0.229968134344895,0.637290156323532,15.1,"base4_expsvc",0.25
2029,1721,223,0.0124013672501736,0.0486532567407967,0.177681361144769,0.523046602754971,13.8,"base4_expsvc",0.25
2030,2171,292,0.00861074432235688,0.0339407141404574,0.127668992098854,0.409488380090357,11.7,"base4_expsvc",0.25
2031,2736,383,0.0059708742936298,0.0236935903765173,0.0896047153212625,0.306941938879488,10.7,"base4_expsvc",0.25
2032,3448,508,0.00399100517803396,0.0158041768556905,0.0615680608269643,0.218291314538023,8.8,"base4_expsvc",0.25
2033,4333,656,0.00271007743054001,0.0107834893585003,0.0421077627447947,0.15593457892234,7.2,"base4_expsvc",0.25
2034,5449,849,0.00182461649734608,0.00727281066153649,0.0285681065507522,0.108090318334127,5.8,"base4_expsvc",0.25
2027,1128,153,0.0496466032732234,0.0921023784604911,0.175324621301598,0.31905996496732,36.8,"current",0.3
2028,1453,183,0.0387565920125858,0.0720746880103044,0.135406957795425,0.253798731753003,38.9,"current",0.3
2029,1900,240,0.0292604755162823,0.0546646637133574,0.103316389278477,0.19371778004725,35.4,"current",0.3
2030,2490,330,0.0216013196689395,0.0405305844481714,0.0771629944880485,0.146134062741192,35.2,"current",0.3
2031,3267,449,0.015874323581616,0.0298207335898631,0.0571830910515981,0.109066431023572,33.4,"current",0.3
2032,4276,610,0.0116902499731237,0.0220628537747946,0.0423905577150967,0.0817661560593662,31.8,"current",0.3
2033,5588,812,0.00864803513054028,0.0163206005003647,0.0314703489538204,0.0608424641308928,31,"current",0.3
2034,7291,1081,0.00640983729954121,0.0121282251490631,0.0234820089223156,0.0458039591054544,28.8,"current",0.3
2027,1125,149,0.0283093333478886,0.0823506357515379,0.232042782908877,0.539088676284095,21.2,"base3",0.3
2028,1454,172,0.0237831551626742,0.069294851333692,0.192206053196512,0.469868269409501,22.8,"base3",0.3
2029,1901,233,0.0172989480675774,0.0508256938911901,0.143239495886388,0.366201240245064,21.3,"base3",0.3
2030,2495,323,0.0118683171336284,0.0350821148958819,0.101112792945511,0.268670050395361,18.3,"base3",0.3
2031,3264,438,0.0083181308710249,0.0246920061460846,0.0715422168588208,0.197882682638101,18,"base3",0.3
2032,4267,597,0.00572368761025095,0.0170585256901448,0.0501081359953582,0.140448775182462,15.4,"base3",0.3
2033,5578,798,0.00390572897662756,0.0116051874493175,0.0343453737214185,0.0984224133151442,13.9,"base3",0.3
2034,7284,1070,0.00269098497219352,0.00806210855480708,0.0237854218324063,0.0694120074018571,11.1,"base3",0.3
2027,1128,152,0.0180161803050543,0.0699255147438987,0.257090757276323,0.675434904354167,13.3,"base4",0.3
2028,1451,168,0.0165676035791113,0.064039091072768,0.227102244889258,0.634418123076503,16,"base4",0.3
2029,1898,228,0.0118137121433718,0.0460181774484494,0.16852144863721,0.504911648659809,14.9,"base4",0.3
2030,2487,314,0.00781759732495836,0.0307266691602113,0.115100041726771,0.378479738629399,12.2,"base4",0.3
2031,3260,430,0.00510502523217816,0.0201022473661304,0.0771508726278951,0.266806859943544,11.2,"base4",0.3
2032,4263,590,0.00327114647667199,0.0129714968754113,0.0502585497991016,0.18294518722192,9.1,"base4",0.3
2033,5581,797,0.00209492671840434,0.00832349551851883,0.032606726847175,0.121053484452398,7.5,"base4",0.3
2034,7282,1067,0.00133225188953608,0.00530333708912519,0.0208541391721033,0.0801631427112143,6,"base4",0.3
2027,1125,148,0.0184713964668859,0.0719853445826257,0.260198029058553,0.690454547474714,13.3,"base4_kflat",0.3
2028,1450,167,0.0162950158189369,0.0636936987192533,0.229885982926859,0.643765782271443,15.9,"base4_kflat",0.3
2029,1895,230,0.0116366698227682,0.0455169899570088,0.168922952533835,0.5140968134642,14,"base4_kflat",0.3
2030,2484,313,0.00768178655773181,0.0303510806693227,0.11530277885502,0.382335510765992,11.4,"base4_kflat",0.3
2031,3256,432,0.00499588397984674,0.0198040512921741,0.076323611154677,0.269651833312952,10.8,"base4_kflat",0.3
2032,4262,586,0.00322421596225626,0.0128188265232234,0.050043631848424,0.18322339710233,8.5,"base4_kflat",0.3
2033,5579,795,0.00205328351083686,0.00815750174224167,0.0321927737992679,0.121959575778866,7.5,"base4_kflat",0.3
2034,7272,1060,0.00133991559535107,0.00533764238476847,0.0211007502134134,0.0814498666323173,5.8,"base4_kflat",0.3
2027,1124,150,0.0174441102412314,0.0730268802266578,0.254879990475521,0.686397954955164,12.5,"caleb",0.3
2028,1451,168,0.0156558014139463,0.0659241034434839,0.23026381576866,0.642030363528528,15.2,"caleb",0.3
2029,1901,230,0.0109435470415092,0.0465391139744286,0.167058611205735,0.510334752640321,13.5,"caleb",0.3
2030,2489,315,0.00725851427249642,0.0310516075412876,0.114079479628953,0.376783525950877,11.2,"caleb",0.3
2031,3258,431,0.0048190599148277,0.0207219428384374,0.0771889500422994,0.269360717526126,10,"caleb",0.3
2032,4261,589,0.00307816479209717,0.0132698184519225,0.0500017292025881,0.181456377290697,8.5,"caleb",0.3
2033,5581,794,0.00196544155836671,0.00849720092768871,0.0322628681976319,0.120026052744332,6.9,"caleb",0.3
2034,7277,1062,0.00129481255886843,0.00560561644120508,0.0213728850810784,0.0807636173570087,6,"caleb",0.3
