"formula","growth","cohort","kind","yr","value"
"caleb",0.25,2027,"realised",5,0.154348848142924
"caleb",0.25,2027,"realised",6,0.158439116125999
"caleb",0.25,2027,"realised",7,0.158439116125999
"caleb",0.25,2027,"realised",8,0.158439116125999
"caleb",0.25,2030,"persistent",1,0.00817004552131384
"caleb",0.25,2030,"persistent",2,0.0322779058320639
"caleb",0.25,2030,"persistent",3,0.0920691593970693
"caleb",0.25,2030,"persistent",4,0.23215710888878
"caleb",0.25,2030,"persistent",5,0.508765549269431
"caleb",0.25,2030,"realised",1,0.00791817087845969
"caleb",0.25,2030,"realised",2,0.0191095066185319
"caleb",0.25,2030,"realised",3,0.0344645006016847
"caleb",0.25,2030,"realised",4,0.0534777376654633
"caleb",0.25,2030,"realised",5,0.0736702767749699
"base4_expsvc",0.25,2027,"persistent",1,0.0180754574634622
"base4_expsvc",0.25,2027,"persistent",2,0.0819117169776311
"base4_expsvc",0.25,2027,"persistent",3,0.24503889275611
"base4_expsvc",0.25,2027,"persistent",4,0.554186693592633
"base4_expsvc",0.25,2027,"persistent",5,0.887908199841287
"base4_expsvc",0.25,2027,"realised",1,0.0180535966149506
"base4_expsvc",0.25,2027,"realised",2,0.0470615890926187
"base4_expsvc",0.25,2027,"realised",3,0.0868359191349318
"base4_expsvc",0.25,2027,"realised",4,0.127691584391161
"base4_expsvc",0.25,2027,"realised",5,0.151527973671838
"base4_expsvc",0.25,2027,"realised",6,0.156464503996239
"base4_expsvc",0.25,2027,"realised",7,0.156558533145275
"base4_expsvc",0.25,2027,"realised",8,0.156558533145275
"base4_expsvc",0.25,2030,"persistent",1,0.00861074432235687
"base4_expsvc",0.25,2030,"persistent",2,0.0321003152500633
"base4_expsvc",0.25,2030,"persistent",3,0.091692021915147
"base4_expsvc",0.25,2030,"persistent",4,0.23332864400961
"base4_expsvc",0.25,2030,"persistent",5,0.507385479403224
"base4_expsvc",0.25,2030,"realised",1,0.00844765342960289
"base4_expsvc",0.25,2030,"realised",2,0.0188688327316486
"base4_expsvc",0.25,2030,"realised",3,0.0337424789410349
"base4_expsvc",0.25,2030,"realised",4,0.0526113116726835
"base4_expsvc",0.25,2030,"realised",5,0.0729482551143201
"current",0.3,2027,"persistent",1,0.0496466032732235
"current",0.3,2027,"persistent",2,0.118143027841839
"current",0.3,2027,"persistent",3,0.209253306065271
"current",0.3,2027,"persistent",4,0.324808333049119
"current",0.3,2027,"persistent",5,0.462638423547293
"current",0.3,2027,"realised",1,0.0498869289914066
"current",0.3,2027,"realised",2,0.0784260515603799
"current",0.3,2027,"realised",3,0.0996834011759385
"current",0.3,2027,"realised",4,0.115694255992763
"current",0.3,2027,"realised",5,0.125554047942108
"current",0.3,2027,"realised",6,0.131478968792402
"current",0.3,2027,"realised",7,0.135052012663953
"current",0.3,2027,"realised",8,0.136589778380823
"current",0.3,2030,"persistent",1,0.0216013196689395
"current",0.3,2030,"persistent",2,0.0507778860597657
"current",0.3,2030,"persistent",3,0.0910159408651954
"current",0.3,2030,"persistent",4,0.146320770878658
"current",0.3,2030,"persistent",5,0.22158894408769
"current",0.3,2030,"realised",1,0.0217552533992583
"current",0.3,2030,"realised",2,0.0351668726823239
"current",0.3,2030,"realised",3,0.0453440461475072
